plasmid_id,length,AS_SRR11088434,AS_SRR11235435,AS_SRR11673976,AS_SRR11783213,AS_SRR13994250,AS_SRR14932642,AS_SRR8208348,AS_SRR8351382,AS_SRR8831201,AS_SRR9261047,DW_SRR15085115,NW_SRR13225453,NW_SRR13225455,NW_SRR13608705,NW_SRR13608725,NW_SRR14751605,NW_SRR21694251,NW_SRR21802946,NW_SRR25018385,WW_ERR11269302,WW_ERR1713344,WW_ERR2592329,WW_ERR4678576,WW_ERR9855099,WW_SRR11088392,WW_SRR12396704,WW_SRR22752015,WW_SRR8208343,WW_SRR8648016,DW_SRR17063163,DW_SRR18749962,DW_SRR19238510,DW_SRR21802943,DW_SRR22105540,DW_SRR22372546,DW_SRR6439731,DW_SRR7369915,GW_ERR3281033,GW_SRR12964613,GW_SRR13727526,GW_SRR13727538,GW_SRR15669520,GW_SRR18331974,GW_SRR20309467,GW_SRR21427518,GW_SRR26726064,GW_SRR7912025,NW_SRR11088437,DW_SRR15085116,NW_SRR12404955
NZ_CP049912.1,42116,23075.27475532324,22396.97027867104,21401.50922913718,24922.93273389515,18024.702570703656,33429.76261031041,40338.37135525718,41472.118108926414,30684.045077070783,27267.66652421002,18245.235695844724,17478.483774936536,17289.15916009828,12073.07836152808,19805.338021758096,29262.911277873278,21545.61920634077,21882.895220100763,15732.6317406059,70830.7898174839,32818.465903387834,49570.91904037842,70643.24928069608,28899.286960382018,26005.934533923384,325216.51684993267,47490.49974798143,41417.404716537174,26207.930253581628,15037.088345286636,15323.441749334113,11992.439795037033,12970.159220883566,13616.358538331599,17999.83736878426,37263.74846059838,20948.636682708948,16551.835407345683,17140.43579269668,15474.717522777783,16442.656698353134,11693.096099605424,56775.687766955365,11683.71768624838,16933.03627186794,15503.593755468559,8842.47155109057,15094.925948797681,19462.691823251094,8443.648008749611
NZ_CP049906.1,761384,11917.056762676855,12175.719700037747,11128.574401172718,10904.132555957496,10460.994286025925,10744.86599555051,6697.708150854451,4446.722140696696,7214.811509493412,9963.844032201552,8207.113616224722,9155.162490338596,9560.997184105752,7719.125561835758,6906.59732029358,8112.39992309431,9401.55815057379,9002.66027700342,9799.975100580943,7003.989689979061,8045.602051183343,9056.183920792057,8597.162513328227,8064.8437471029165,11620.323093249695,3045.7263735071247,4966.546788055475,5864.443894674524,13153.83694001116,9951.343233083207,13436.72500105472,11381.352350986317,8500.6781382459,10837.702278149998,5668.22922158855,10069.750524540515,9232.272910923502,9142.30860096671,10688.333987531762,11711.5846012378,9918.085627825427,8781.943185666225,5892.8460420243455,6399.844809850953,8544.254185618858,9050.662469566338,7377.740461120468,12364.440743047666,7847.397299895179,6068.054926998978
NZ_CP071828.1,271215,15309.501329382862,16287.295818489367,17421.534687114927,16493.17097432021,16649.724039373505,14131.2766726664,13603.333237629557,15919.682790390681,15734.658960983572,13479.881285721016,16667.534634991476,10587.75427275974,11057.497583193524,13941.95164471221,10379.811051821354,8389.713960278637,9354.595896750376,10349.34960446561,11619.31318304353,12266.597479565664,14343.987271760463,14307.155234423912,12285.470691382498,13790.273598416255,12439.436851743356,10118.473655699674,12916.125632645657,13995.02160058207,15422.774719006204,11651.486559581603,12572.39291024834,7586.124655106612,9726.228478767558,13811.01017500191,9079.2451270638,15827.094086030023,9238.912702965781,15021.926680637442,15913.674368381737,14224.006279304273,14481.66771088242,11045.443939653145,29436.127730638433,8796.297601425,14482.04617718301,15633.3617906175,8043.832673419861,13620.606618015263,15041.609058343704,5478.999503062819
NZ_CP069303.1,4605385,27901.301656131167,27519.85664065927,28079.676686437364,26742.357254182432,32363.095978876572,22315.96751779425,28275.923318605543,23615.51064874775,17415.176786219836,23543.419082306013,30763.79761004597,18935.943947295746,18983.184047061728,28943.418018421115,18668.869634388055,13676.224132189018,18293.335144443983,20724.725551200998,25037.23801305808,23363.394854223963,23804.397217330894,19004.562745944128,17125.010712475232,24944.799513135265,22222.682936899873,11101.623260090719,12553.241519605344,23169.34353092253,24730.59292811006,23459.03376931624,24463.61538831648,19321.079978180907,22327.20138494045,30039.191205030063,23391.281423304394,24849.77074925529,18685.945720618838,27061.406156199693,14327.898482159815,26176.236226619574,20806.80632111747,24829.72341184735,6885.246512809983,11252.05854215348,13945.422138394533,15931.273898682988,14869.55791038148,26317.920260394087,28671.739121804305,20786.583989366005
CP063167.1,2479635,33266.89650274012,37054.8509363581,36344.17064138025,28649.114640962856,39442.243259617106,28671.230560244225,25601.934004486353,13250.447357169722,22970.296915249346,28482.73977046104,24366.338041037547,21834.020605926173,21934.72560103981,23415.416976758363,20771.546563174004,18380.088202630242,20922.43471855027,21899.08736458158,27751.96229687234,16507.711138026232,27423.88129875054,22179.966214430508,21027.003297558076,26678.54944986955,28518.44400962569,8784.406691806054,12539.038350379236,17254.606782384224,31466.41747702504,26331.153887182576,29662.634182898808,22106.658668630094,23452.274303261544,32737.54558638794,15774.051788471528,31285.898968578334,20981.219749021006,58233.25372243612,22205.367251155432,31374.22711867244,29465.597823382315,20656.284880037918,13443.030301854997,13390.170746185539,19867.847821931504,21027.30383918484,17336.10194152322,31836.29515120838,23765.043050920744,14817.559489534036
NZ_CP062064.1,137594,8415.372122304112,8829.629212248212,8420.779121004822,9657.884033978771,7529.808458262583,8478.157679807045,5347.952090913977,5741.165258584118,5077.996418651844,6972.3289016229955,8540.05045851156,8211.714036381738,8599.24332467239,4985.599178499631,4019.060337468062,4239.942204151521,6740.45461273289,5356.53104448766,5662.320825530383,6587.505549840396,6500.224976603676,7382.1515498474355,6586.421617703011,5614.623873658178,8416.848596410175,8685.629282213387,6453.413042790321,5314.707649247842,9075.642291304255,4947.76748816534,7713.3335882531655,4412.408910579052,6722.610407886092,8258.193262773015,4188.758997624713,8712.288083590292,4573.251084595831,5970.587683533684,4460.626509119167,7364.252356617024,6862.620492410702,4084.2734622142357,6250.645147089305,725.1552223505524,3077.7398854369662,3487.12576679646,2683.2860784401732,8037.465578157217,8769.501950918957,1376.680819171681
NZ_CP119142.1,2167441,5975.606445330696,6197.259149506237,5309.777238019391,6814.435239621568,4885.0444487470295,5927.861313254327,4111.16754274822,3850.58258476041,5026.770536312212,5119.7607596162425,4917.66625166698,6011.63255497002,6995.096056062645,4935.345732838745,4080.1252432693036,4764.512225107099,7847.359542446232,6531.715259616184,4897.605955617754,2796.2653561636794,5255.28555218979,20032.206017677014,10179.448341557527,4577.087231729295,6166.682838959552,2165.3247956494906,5385.426490227136,6540.66597863074,7617.64529855673,5808.588419643397,7777.842555308549,7502.969253477889,5482.458273652934,5709.216370422834,3083.1140653756765,5310.899739913194,6922.131992836457,3365.9995418301037,4174.050888249735,6936.962192066322,7197.002843294673,5046.743698409779,2832.1893398853526,3590.344513938766,3414.296313275177,3220.816108139052,3120.023676391604,8333.031218111793,4515.1072382809625,5744.866612936939
NZ_CP119140.1,2168363,5944.913593672909,6094.618908517578,5304.192747477345,6677.160974655952,4861.36508398539,5849.7986255928445,4022.135085090679,3745.7626823613764,4899.754768016698,5012.36091847852,4838.864082820255,6015.420745757092,6913.497440899668,4713.824300260041,3952.6520951696743,4617.605326953668,7661.7788690931375,6330.09334483951,5019.206826555371,2782.558256028589,5111.343575876446,19736.156594764445,10054.915202885944,4486.488188783151,6102.416408280559,2150.9769254640214,5320.361179911052,6522.154143993317,7541.021289673687,5745.996610259184,7751.752015424464,7410.850475353942,5356.146162484545,5643.595138311337,3034.712449435979,5230.708938751346,6771.934103342268,3339.1411129113158,4073.9412699470413,6775.973602500361,7048.948233992581,5035.43260413402,2737.535536902372,3461.4052457808284,3370.920784804414,3183.501104632723,3057.7839372525677,8110.203009495356,4482.327704716482,5675.402314114413
NZ_CP115947.1,2326525,29119.764234881823,30690.298441753424,31201.53453220077,33922.27576126016,30709.57727061694,29754.147229108657,37765.87361565856,33565.31903791837,41700.573263053215,28921.22075995738,24235.797822548728,29556.07438356348,29884.088106510182,37095.96026384736,36669.76834121968,32251.489968538335,28352.26215864435,34448.531614309504,30764.904966654154,25079.8148196237,33886.66140766138,29065.005199142455,27611.016330281454,32372.825405156207,30519.674465528075,23375.209860812938,29183.47011206351,31276.71690356046,28771.37319927923,36983.076739363816,28408.228601508898,25984.888559161576,30863.3941424421,32081.700360013067,18794.460249195265,31824.18238012288,28213.726448186255,38182.60396398731,45838.03888411263,34037.24577459307,31035.79128276213,33121.78775630922,32153.64928353835,47859.98592351383,37086.46082211708,30774.195004137782,26892.624402460406,30534.29765906433,23001.219153166974,28695.105169618193
NZ_CP115942.1,1578131,21046.898446927902,22286.042856646,22665.476827331346,23677.27208496927,22198.186314974664,20699.475219517783,24429.526596745152,20232.90029798434,26751.25520663552,20500.761622390382,16622.386645274735,20276.721854134037,19863.841221028215,24936.817813670328,24254.081475114872,21322.53091375127,19124.761890971928,22976.431642225856,21422.414222561783,15526.396125118501,22260.91822729625,18369.394130249246,17996.78059729746,21543.870783804,21642.335654801118,13728.559745049653,18097.799982924385,19025.986953691754,21130.852181845206,24780.722566317076,20797.58167697016,18532.949691990492,21746.37695367668,22873.301741700423,13409.733067885043,21667.294989255013,19202.588331129,25786.045211791243,27776.584074823495,24107.20971734163,21207.827483278073,21106.653728953264,17822.668876385997,30008.444979844073,24467.259409059167,19921.644848905667,18662.163786431396,21956.326247839952,16046.268256676585,18886.167860863716
