Percentage	AS	DW	GW	MW	NW	WW
29	0.6083371868168824	0.4430184432181237	0.4503802765133309	0.04701896002243135	0.5721706062126907	0.7075199750207696
30	0.6183152173913044	0.45328458498023716	0.459545979222778	0.04818186703928629	0.5830173801987895	0.7185006449654754
31	0.6295907693083284	0.4615900383141762	0.47098464042315125	0.049114606273295155	0.5933070076285825	0.7287583665991321
32	0.6424783460222884	0.47089765580331616	0.48197621565462606	0.04826208301264858	0.6013183717947688	0.7382564823046894
33	0.6528651239467579	0.48447057582788444	0.49272118760651296	0.047915131109129025	0.613249059924794	0.7462777825018322
34	0.6637116922051965	0.49446490218642114	0.5034950151226616	0.048476788033358885	0.6197164427631472	0.7543950339099124
35	0.672032283577797	0.5012729756582216	0.5124885149185163	0.05037589414172527	0.6276720474007077	0.7628625106094851
36	0.6843069918197253	0.5094708077845908	0.5207095217086654	0.05172020052996169	0.6323674265832219	0.7644593204464848
37	0.692996205246659	0.5155599886007409	0.5287957388964407	0.052946669714923414	0.6391541254799281	0.7690590687521541
38	0.7020508861439312	0.5258503401360545	0.5390855457227138	0.05564945384828839	0.6455113335244699	0.7749284705156059
39	0.7066481355603029	0.5317762495806776	0.5486235835809685	0.055213716537659815	0.6540083791642515	0.7801304714617827
40	0.7146671826625387	0.5378163992869875	0.5550754815200417	0.057548656050801034	0.6596699471614955	0.7844437600520139
41	0.7210887186320231	0.5419543536632144	0.5628617303312049	0.057387095596480524	0.6664241718803046	0.794581777748323
42	0.7255280859098419	0.546392172849572	0.5688916226834398	0.059714977800196224	0.669077768041739	0.7995680041321345
43	0.7402374283480979	0.5558730873087309	0.5773898186278805	0.06329168145491929	0.6782557566101437	0.8055915539197899
44	0.7468410609857978	0.5615921115921115	0.5821744627054362	0.06391063498603672	0.6835870718373911	0.8124878805507078
45	0.7598880012531328	0.5709145021645022	0.5954224610198062	0.06370298428394844	0.6933421516754851	0.8232049364248317
46	0.7678056027164686	0.5761876832844575	0.603225806451613	0.06381434666454006	0.6998970049025666	0.8308956820356922
47	0.7745320607857673	0.5801856594110115	0.6120528480618223	0.06719302216264211	0.7045851096361053	0.8364058697736155
48	0.7787396121883656	0.5848598769651402	0.6184044181249584	0.06752976384099928	0.7079672360979076	0.8381687202298941
49	0.7802817275042445	0.5893878299120234	0.622680559520411	0.07019817377088401	0.7115519301281259	0.8370911445138771
50	0.782559967396367	0.5948310539018503	0.633565666849401	0.07067613244801295	0.7170741079804247	0.8432717107600117
51	0.7921484582668793	0.6055325987144169	0.6461964780548851	0.07707482738385088	0.7222415728162854	0.8481499109771362
52	0.7999024002313476	0.6131868131868131	0.6550617524068852	0.08219345549382631	0.7303131096234544	0.8505456149435208
53	0.8100524749373433	0.6189935064935065	0.6637694900969238	0.08295073282712344	0.7326826004986924	0.8577869193052439
54	0.8146508097165992	0.6249708624708625	0.6705241660993874	0.08815885391905169	0.7349608671447753	0.8566921734461
55	0.8233695652173914	0.6326745718050065	0.6785943311530076	0.09498217516705182	0.7412590001295648	0.8606115790272403
56	0.8316337719298246	0.6431439393939394	0.6908554572271386	0.10024721878862793	0.7457641549595572	0.8639034322280396
57	0.8344102443609023	0.64862012987013	0.6957174462705437	0.09734239802224968	0.7500228060572888	0.8696397407130392
58	0.8421395285087719	0.661126893939394	0.703816371681416	0.10447569015245158	0.7550021285653469	0.8689281559045957
59	0.8438621411483255	0.6681818181818182	0.706053901850362	0.11220361838408809	0.7572564727737141	0.8668094558146914
60	0.8448190789473684	0.6696022727272727	0.7119469026548673	0.09984548825710755	0.7587164750957855	0.8715095986038395
