Representative	AS	DW	GW	Group	MW	NW	WW
ERR1713352_k141_661324_3_107237375	540	292	163	0	23	601	522
SRR3501884_k141_842256_1_48836497	173	51	48	0	0	84	390
SRR22105546_k141_27485_2_157850894	165	85	35	0	3	289	98
SRR2107174_k141_74285_3_16402094	208	76	48	0	47	263	307
ERR1713407_k141_766105_4_167015957	156	88	28	0	1	352	325
ERR4678657_k141_592679_1_133206641	170	54	42	0	1	188	443
ERR3281023_k141_508727_18_2491511	217	132	58	0	4	374	249
SRR14932515_k141_1026154_11_491666043	504	91	37	0	7	221	406
ERR2592262_k141_98640_1_1903941	100	66	55	0	1	157	424
ERR12084959_k141_1154470_2_33537040	114	65	31	0	0	191	87
ERR2592269_k141_423029_1_51053522	332	76	46	0	0	128	368
SRR14932486_k141_1274176_10_459819069	355	101	29	0	4	173	389
SRR17063163_k141_979766_2_86502553	467	158	53	0	7	108	229
ERR4678653_k141_440548_1_269275143	398	141	61	0	4	115	422
SRR11088434_k141_854075_1_384230564	483	71	43	0	9	82	365
SRR15085115_k141_523871_4_50546501	150	61	25	0	318	138	144
ERR3281034_k141_193439_28_10116877	56	80	59	0	25	101	78
ERR1713380_k141_713779_1_133620213	155	131	81	0	1	336	469
ERR4678628_k141_1914763_1_34951520	11	49	40	0	3	96	175
SRR6747801_k141_57474_1_178044190	405	138	57	0	0	230	411
SRR12479818_k141_99299_1_60635866	45	48	23	0	664	156	71
SRR12451397_k141_256663_1_238440833	395	156	62	0	4	123	412
SRR21427516_k141_321827_2_48003587	29	181	47	0	15	137	66
ERR4869826_k141_627783_2_155936218	27	91	27	0	3	377	69
SRR12339334_k141_70904_1_219390552	123	65	51	0	1	149	445
SRR14932629_k141_991138_1_682419452	302	76	72	0	0	180	142
SRR15237808_k141_454087_2_226549818	107	71	39	0	23	90	85
SRR14932486_k141_531574_1_459873219	438	224	116	0	12	548	492
SRR2090172_k141_461702_2_45691444	270	44	35	0	1	132	136
SRR14751601_k141_1851391_1_486389866	311	54	38	0	0	177	404
SRR2107215_k141_242085_4_23296364	333	75	47	0	0	189	266
SRR22372561_k119_101808_1_206794470	165	109	38	0	2	246	108
ERR1713363_k141_573231_18_118172119	274	49	33	0	0	89	143
SRR22372552_k141_29814_10_188983311	314	91	37	0	220	272	190
SRR13727518_k141_216261_3_117305485	60	61	72	0	1	91	165
SRR14932626_k141_61974_1_677277610	141	103	38	0	10	323	283
SRR14932626_k141_41129_19_677410969	474	89	80	0	1	283	455
ERR4869747_k141_82237_1_95960172	134	113	40	0	7	444	269
SRR12396704_k141_182925_1_236736011	227	61	66	0	1	151	472
SRR9030453_k119_111979_2_230217509	39	48	44	0	1	92	295
SRR14932545_k141_1170049_1_550482538	310	60	36	0	1	107	91
ERR1713407_k141_440546_5_167228100	204	94	50	0	0	257	429
SRR26502666_k141_1278270_1_210257523	8	46	35	0	4	96	223
ERR1725980_k141_46769_2_186036243	104	46	51	0	31	192	461
SRR22105541_k141_449936_1_149870577	330	153	71	0	33	289	79
SRR14932578_k141_848702_1_610393248	373	69	24	0	0	109	295
SRR5123271_k141_883988_1_38979993	100	59	34	0	2	125	91
SRR12404955_k141_1413149_1_146926914	50	175	30	0	3	506	66
SRR8351382_k141_1531260_2_203466445	174	58	25	0	1	225	308
SRR20309467_k141_750257_1_175413157	63	141	65	0	4	141	92
SRR19786835_k141_777570_1_557446945	96	92	33	0	3	361	311
ERR1076077_k141_54951_3_1254805	172	109	24	0	0	330	224
SRR18749953_k141_530097_2_105824445	228	47	31	0	0	172	235
SRR3098776_k141_176464_1_53250754	77	48	23	0	4	270	70
SRR11088417_k141_959370_1_145360256	289	121	52	0	57	274	178
SRR13225447_k141_624162_3_383470184	32	69	23	0	1	243	202
ERR4678580_k141_1822767_2_45452953	328	51	27	0	1	135	465
ERR1726035_k141_460517_2_22444000	136	61	62	0	1	130	451
SRR6747717_k141_623428_1_67118465	220	156	53	0	372	234	96
ERR1713342_k141_678589_1_92741983	4	46	29	0	3	86	155
SRR18749960_k141_269358_6_93312617	52	102	24	0	2	311	117
SRR21427516_k141_207123_4_47834629	20	67	69	0	8	150	197
ERR4678591_k141_83121_2_55632298	11	47	45	0	2	100	216
SRR12396704_k141_55061_1_236804047	168	68	32	0	2	115	84
SRR10761724_k141_1011551_2_48770689	8	53	60	0	13	122	240
ERR2592245_k141_477567_1_6794131	179	77	84	0	1	187	426
ERR4678570_k141_114991_2_8176612	38	58	69	0	21	152	256
SRR14932488_k141_409004_1_464157364	509	44	27	0	0	188	375
SRR21427516_k141_224058_43_47911303	146	74	52	0	0	284	337
SRR15237810_k141_21464_1_245663801	10	54	42	0	1	112	217
SRR14560456_k141_384051_1_439425840	361	113	77	0	476	326	227
SRR21427516_k141_287930_2_47907666	59	61	82	0	25	174	260
ERR4222567_k141_113476_6_46498161	387	90	66	0	0	151	92
SRR12404948_k141_2092581_1_45114756	116	53	33	0	0	115	422
SRR12404956_k141_502733_1_152254925	142	100	33	0	68	386	308
SRR10132624_k141_290035_1_283702312	228	77	44	0	0	159	191
SRR14932615_k141_1417383_11_659520648	168	98	33	0	21	380	291
SRR8648017_k141_127102_2_39431450	14	56	58	0	10	98	202
ERR1725990_k141_49616_1_77048234	122	85	39	0	94	333	336
SRR11673976_k141_483849_2_421120006	336	113	28	0	4	111	271
SRR19786824_k141_397576_1_548438999	91	46	47	0	0	122	423
SRR14932518_k141_1510724_1_497638061	390	239	65	0	28	344	226
ERR4869772_k141_666118_1_109180528	126	52	31	0	0	185	81
SRR11088437_k141_947037_1_113604814	6	81	55	0	10	137	116
SRR13198920_k141_74402_1_239061933	294	94	29	0	0	93	304
SRR10132621_k141_431080_1_281808665	233	90	70	0	1	256	213
SRR19786837_k141_208250_1_558712222	122	87	29	0	5	337	302
SRR25018396_k141_1084504_1_625610644	176	108	43	0	0	281	150
ERR4678628_k141_723344_1_33456048	29	83	65	0	9	171	301
SRR6337693_k141_335164_3_596346811	103	69	35	0	1	241	124
SRR6747722_k141_281076_1_72068258	455	203	133	0	110	250	132
SRR8223441_k141_1214694_6_200307593	329	63	51	0	13	184	208
ERR4678635_k141_277722_2_115334865	127	89	52	0	0	182	345
ERR11269305_k141_889275_1_203048386	190	46	31	0	3	154	82
ERR11269306_k141_1873523_1_203924039	107	76	58	0	0	197	426
ERR1725988_k141_208181_1_34810740	87	56	35	0	0	103	336
ERR4678567_k141_1120594_4_2342857	58	45	39	0	1	126	350
SRR14751620_k141_785762_1_515652555	20	49	50	0	1	117	164
SRR6747720_k141_119422_2_70547454	303	159	57	0	28	220	140
SRR14932676_k141_1522057_2_773784339	537	192	104	0	4	166	354
SRR13608702_k141_935350_2_350114657	142	256	51	0	7	192	71
SRR11088419_k141_1270943_3_47533388	284	47	61	0	3	163	411
SRR13107661_k141_567174_1_308039942	100	130	27	0	9	156	110
SRR13107662_k141_338688_2_310342699	246	345	79	0	33	163	269
SRR12450810_k141_81511_1_237769136	476	96	34	0	11	272	484
SRR10132665_k141_74432_2_379341659	167	147	49	0	10	186	93
SRR19238506_k141_89758_1_126746146	205	248	34	0	1	83	104
SRR14751606_k141_1046952_2_466805213	59	49	56	0	1	81	357
SRR19238505_k141_325246_2_125040838	187	86	31	0	0	282	99
ERR4869764_k141_419681_2_105951503	190	171	82	0	2	371	341
SRR13608705_k141_95190_2_353072461	73	102	24	0	0	211	213
ERR9855087_k141_978718_1_56450247	19	53	43	0	3	91	148
ERR4678649_k141_1789291_1_123547796	412	218	125	0	4	529	493
ERR11269308_k141_1075560_1_207671299	87	61	49	0	119	275	462
SRR14932614_k141_1457380_1_656882030	231	49	25	0	0	161	125
SRR13107660_k141_429980_2_380795195	44	77	42	0	4	129	97
ERR1713401_k141_474849_2_159978902	157	155	88	0	2	426	434
SRR9030457_k119_318579_2_233168337	155	58	51	0	0	198	382
ERR2592260_k141_329390_1_13290418	145	61	55	0	1	136	410
SRR11088384_k141_851645_4_33310809	512	147	63	0	8	123	420
SRR13608728_k141_1174477_1_362608342	242	71	42	0	2	163	281
ERR9855092_k141_464640_3_53998968	141	63	67	0	2	135	391
ERR1713359_k141_899560_2_187827609	14	52	37	0	3	98	183
SRR14751622_k141_1665695_3_522402485	30	48	54	0	3	118	156
SRR21705948_k141_252331_2_149476251	287	78	38	0	2	173	166
ERR9855095_k141_858136_1_41334687	299	62	29	0	0	97	276
SRR2107174_k141_75393_3_16444515	366	84	37	0	0	225	96
